timestamp_utc,station_id,state,next_state
2026-01-14 07:25:01.544005+00:00,1594046461117682452,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1594046465420805300,LOW,LOW
2026-01-14 07:25:01.544005+00:00,1606778059648526978,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1673852313397164648,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1673852313397164652,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1673852317692131950,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1673852326282066544,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1673852330577033842,MEDIUM,MEDIUM
2026-01-14 07:25:01.544005+00:00,1674190136467794156,MEDIUM,MEDIUM
2026-01-14 07:25:01.544005+00:00,1674190140762761456,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190140762761460,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190145057728760,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190145057728764,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190145057728766,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190149352696064,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190149352696066,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190153647663366,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190153647663368,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190157942630668,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190157942630672,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190157942630676,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190162237597974,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190162237597976,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190162237597978,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190166532565276,EMPTY,EMPTY
