from_state,EMPTY,LOW,MEDIUM,HIGH
EMPTY,0.9988839285714286,0.0011160714285714285,0.0,0.0
LOW,0.0,1.0,0.0,0.0
MEDIUM,0.001893939393939394,0.0,0.9981060606060606,0.0
HIGH,0.0,0.0,0.0,1.0
